Time [ms],Date,Time,Rel.Time [s],Id,Name,Priority Old,Priority New,Phrase,State Old,State New
1604332196706,2020-11-02,15:49:56.706,0,Tidal volume < low Limit,Tidal volume < low Limit,,20,TIDAL VOL LO,Unknown,Active
1604332197675,2020-11-02,15:49:57.675,1,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604332206673,2020-11-02,15:50:06.673,10,Respiratory rate > high limit,Respiratory rate > high limit,,29,RESP RATE HI,Unknown,Active
1604332223698,2020-11-02,15:50:23.698,27,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604332228681,2020-11-02,15:50:28.681,32,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604332255659,2020-11-02,15:50:55.659,59,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604332419668,2020-11-02,15:53:39.668,223,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1604332434664,2020-11-02,15:53:54.664,238,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604332804696,2020-11-02,16:00:04.696,608,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604332806695,2020-11-02,16:00:06.695,610,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604333327664,2020-11-02,16:08:47.664,1131,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1604333341661,2020-11-02,16:09:01.661,1145,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604333636683,2020-11-02,16:13:56.683,1440,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1604333660658,2020-11-02,16:14:20.658,1464,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604336779688,2020-11-02,17:06:19.688,4583,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604336783690,2020-11-02,17:06:23.690,4587,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604336790721,2020-11-02,17:06:30.721,4594,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1604336816657,2020-11-02,17:06:56.657,4620,Volume not constant,Volume not constant,,6,VOL INCONST ,Unknown,Active
1604336818657,2020-11-02,17:06:58.657,4622,Volume not constant,Volume not constant,6,-1,,Active,NotActive
1604336847660,2020-11-02,17:07:27.660,4651,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1604345560697,2020-11-02,19:32:40.697,13364,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604345561713,2020-11-02,19:32:41.713,13365,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604346051695,2020-11-02,19:40:51.695,13855,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
1604346052695,2020-11-02,19:40:52.695,13856,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1604346115699,2020-11-02,19:41:55.699,13919,Tidal volume < low Limit,Tidal volume < low Limit,-1,20,TIDAL VOL LO,NotActive,Active
