Time [ms],Date,Time,Rel.Time [s],Id,Name,Unit,Value Old,Value New
1604324559779,2020-11-02,13:42:39.779,0,FiO2,FiO2,%,,25.0000
1604324559779,2020-11-02,13:42:39.779,0,VTi,VTi,L,,0.0040
1604324559779,2020-11-02,13:42:39.779,0,Ti,Ti,s,,0.3300
1604324559779,2020-11-02,13:42:39.779,0,Te,Te,s,,0.6700
1604324559779,2020-11-02,13:42:39.779,0,I (I:E),I (I:E),no unit,,1.0000
1604324559779,2020-11-02,13:42:39.779,0,E (I:E),E (I:E),no unit,,2.0000
1604324559779,2020-11-02,13:42:39.779,0,RR,RR,1/min,,60.0000
1604324559779,2020-11-02,13:42:39.779,0,PEEP,PEEP,mbar,,5.0000
1604324559779,2020-11-02,13:42:39.779,0,Pmax,Pmax,mbar,,30.0000
1604324559779,2020-11-02,13:42:39.779,0,MVhigh delay,MVhigh delay,s,,10.0000
1604324559779,2020-11-02,13:42:39.779,0,MVlow delay,MVlow delay,s,,10.0000
1604324559779,2020-11-02,13:42:39.779,0,Flow trigger,Flow trigger,L/min,,0.2000
1604324559779,2020-11-02,13:42:39.779,0,Slope,Slope,s,,0.0800
1604324559779,2020-11-02,13:42:39.779,0,VTi,VTi,mL,,3.5000
1604324559779,2020-11-02,13:42:39.779,0,Ø tube,Ø tube,mm,,2.5000
1604325638820,2020-11-02,14:00:38.820,1079,FiO2,FiO2,%,25.0000,28.0000
1604331308776,2020-11-02,15:35:08.776,6749,FiO2,FiO2,%,28.0000,25.0000
1604331677766,2020-11-02,15:41:17.766,7118,FiO2,FiO2,%,25.0000,21.0000
1604336124780,2020-11-02,16:55:24.780,11565,FiO2,FiO2,%,21.0000,45.0000
1604336147772,2020-11-02,16:55:47.772,11588,FiO2,FiO2,%,45.0000,72.0000
1604336181789,2020-11-02,16:56:21.789,11622,FiO2,FiO2,%,72.0000,77.0000
1604336197806,2020-11-02,16:56:37.806,11638,FiO2,FiO2,%,77.0000,85.0000
1604336461782,2020-11-02,17:01:01.782,11902,FiO2,FiO2,%,85.0000,75.0000
1604336516767,2020-11-02,17:01:56.767,11957,FiO2,FiO2,%,75.0000,70.0000
1604336873788,2020-11-02,17:07:53.788,12314,FiO2,FiO2,%,70.0000,62.0000
1604337321825,2020-11-02,17:15:21.825,12762,PEEP,PEEP,mbar,5.0000,5.5000
1604337570793,2020-11-02,17:19:30.793,13011,VTi,VTi,mL,3.5000,3.8000
1604337635784,2020-11-02,17:20:35.784,13076,FiO2,FiO2,%,62.0000,55.0000
1604337686799,2020-11-02,17:21:26.799,13127,FiO2,FiO2,%,55.0000,50.0000
1604338506815,2020-11-02,17:35:06.815,13947,FiO2,FiO2,%,50.0000,61.0000
1604339196766,2020-11-02,17:46:36.766,14637,FiO2,FiO2,%,61.0000,70.0000
1604340774802,2020-11-02,18:12:54.802,16215,PEEP,PEEP,mbar,5.5000,6.0000
1604341549793,2020-11-02,18:25:49.793,16990,FiO2,FiO2,%,70.0000,54.0000
1604343209788,2020-11-02,18:53:29.788,18650,Pmax,Pmax,mbar,30.0000,35.0000
1604344290771,2020-11-02,19:11:30.771,19731,FiO2,FiO2,%,54.0000,60.0000
1604344354785,2020-11-02,19:12:34.785,19795,FiO2,FiO2,%,60.0000,70.0000
1604345253808,2020-11-02,19:27:33.808,20694,VTi,VTi,mL,3.8000,4.3000
1604345824805,2020-11-02,19:37:04.805,21265,FiO2,FiO2,%,70.0000,75.0000
